  network      gen  species     rxns   cores  distinct  mech  per 1k rxn   time
  Formose        1        7        8       0         0     0         0.0     0s
  Formose        2       30       45       0         0     0         0.0     0s
  Formose        3      309      580      24         2     2        41.4     0s
  Formose        4     2956     6825     159        23     9        23.3     0s
  Formose        5    23456    54506     774       204    19        14.2     3s
  Formose        6   117871   306145    2050       963    40         6.7    30s

  Glucose        1       17       16       0         0     0         0.0     0s
  Glucose        2      126      213       2         1     1         9.4     0s
  Glucose        3     1051     2239       9         4     4         4.0     0s
  Glucose        4     7888    19261     236        49    18        12.3     1s
  Glucose        5    48400   120952    1024       289    24         8.5     7s

  PyruvicAcid    1        4        3       0         0     0         0.0     0s
  PyruvicAcid    2       22       28       0         0     0         0.0     0s
  PyruvicAcid    3      142      239       1         1     1         4.2     0s
  PyruvicAcid    4     1067     1990      41        11     6        20.6     0s
  PyruvicAcid    5     9078    17435     166        56    18         9.5     0s
  PyruvicAcid    6    63277   131007     861       338    41         6.6     7s

