  FormoseRels_6: 306145 reactions, 117871 non-food species, target C(CO)=O
  solution 1: 4 reactions, cost 4,   99.7s   (cumulative   99.7s)
  solution 2: 4 reactions, cost 4,   81.3s   (cumulative  181.0s)
  solution 3: 4 reactions, cost 4,   80.3s   (cumulative  261.3s)
  solution 4: 4 reactions, cost 4,   78.8s   (cumulative  340.1s)
  solution 5: 4 reactions, cost 4,   82.2s   (cumulative  422.3s)
  solution 6: 4 reactions, cost 4,  125.6s   (cumulative  548.0s)
  solution 7: 4 reactions, cost 4,  144.0s   (cumulative  692.0s)
  solution 8: 4 reactions, cost 4,  104.7s   (cumulative  796.7s)
  solution 9: 4 reactions, cost 4,   79.0s   (cumulative  875.7s)
  solution 10: 4 reactions, cost 4,   77.5s   (cumulative  953.2s)
  solution 11: 4 reactions, cost 4,   80.2s   (cumulative 1033.4s)
  solution 12: 4 reactions, cost 4,   80.8s   (cumulative 1114.3s)
  solution 13: 4 reactions, cost 4,   92.2s   (cumulative 1206.4s)
  solution 14: 4 reactions, cost 4,  124.0s   (cumulative 1330.5s)
  solution 15: 4 reactions, cost 4,  127.9s   (cumulative 1458.5s)
  solution 16: 4 reactions, cost 4,   91.4s   (cumulative 1550.0s)
  solution 17: 4 reactions, cost 4,   88.1s   (cumulative 1638.0s)
  solution 18: 4 reactions, cost 4,   73.6s   (cumulative 1711.7s)
  solution 19: 4 reactions, cost 4,   69.6s   (cumulative 1781.3s)
  solution 20: 4 reactions, cost 4,   69.8s   (cumulative 1851.0s)
